tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
10739394,19wu@19wu,unknown,-3,313.0,2.0,315.0,True,22.75,0.0,0.0,313.0,1,0,0,0,0,0,0,0
10739394,19wu@19wu,unknown,-3,315.0,0.0,315.0,False,30.24,0.0,0.0,315.0,1,0,0,0,0,0,0,0
10739449,19wu@19wu,unknown,-3,315.0,0.0,315.0,False,23.2,0.0,0.0,315.0,1,0,0,0,0,0,0,0
10739449,19wu@19wu,unknown,-3,315.0,0.0,315.0,False,19.58,0.0,0.0,315.0,1,0,0,0,0,0,0,0
10741050,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
10741050,19wu@19wu,unknown,-3,314.0,1.0,315.0,True,42.31,0.0,0.0,314.0,1,0,0,0,0,0,0,0
10741814,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
10741814,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,26.92,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10741842,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,39.19,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10741842,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,13.54,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10742026,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,56.96,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10742026,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,14.21,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10742171,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,30.06,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10742171,19wu@19wu,unknown,-3,319.0,2.0,321.0,True,36.66,0.0,0.0,319.0,1,0,0,0,0,0,0,0
10744752,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,41.24,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10744752,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,40.78,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10744757,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,0.0,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10744757,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,19.53,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10745008,19wu@19wu,unknown,-3,319.0,2.0,321.0,True,50.72,0.0,0.0,319.0,1,0,0,0,0,0,0,0
10745008,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,22.04,0.0,0.0,321.0,1,0,0,0,0,0,0,0
3855527,19wu@19wu,unknown,-3,11.0,0.0,11.0,False,2.5,0.0,0.0,11.0,1,0,0,0,0,0,0,0
3855527,19wu@19wu,unknown,-3,11.0,0.0,11.0,False,6.11,0.0,0.0,11.0,1,0,0,0,0,0,0,0
3855527,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
3855527,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
10745273,19wu@19wu,unknown,-3,320.0,1.0,321.0,True,29.07,0.0,0.0,320.0,1,0,0,0,0,0,0,0
10745273,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,12.55,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10745348,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,35.4,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10745348,19wu@19wu,unknown,-3,320.0,1.0,321.0,True,15.88,0.0,0.0,320.0,1,0,0,0,0,0,0,0
10756512,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,44.85,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10756512,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,26.06,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10786196,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,44.77,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10786196,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,13.36,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10835892,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,2.5,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10835892,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,8.7,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10839437,19wu@19wu,unknown,-3,320.0,1.0,321.0,True,51.54,0.0,0.0,320.0,1,0,0,0,0,0,0,0
10839437,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
10839447,19wu@19wu,unknown,-3,320.0,1.0,321.0,True,30.69,0.0,0.0,320.0,1,0,0,0,0,0,0,0
10839447,19wu@19wu,unknown,-3,319.0,2.0,321.0,True,6.95,0.0,0.0,319.0,1,0,0,0,0,0,0,0
10846097,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,23.5,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10846097,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,6.59,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10863532,19wu@19wu,unknown,-3,318.0,3.0,321.0,True,21.78,0.0,0.0,318.0,1,0,0,0,0,0,0,0
10863532,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,16.75,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10887451,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,36.18,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10887451,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,25.21,0.0,0.0,321.0,1,0,0,0,0,0,0,0
3855847,19wu@19wu,unknown,-3,11.0,3.0,14.0,True,4.98,0.0,0.0,11.0,1,0,0,0,0,0,0,0
3855847,19wu@19wu,unknown,-3,11.0,3.0,14.0,True,8.21,0.0,0.0,11.0,1,0,0,0,0,0,0,0
3855847,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
3855847,19wu@19wu,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
10893853,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,25.65,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10893853,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,17.62,0.0,0.0,321.0,1,0,0,0,0,0,0,0
10916706,19wu@19wu,unknown,-3,321.0,0.0,321.0,False,22.48,0.0,0.0,321.0,1,0,0,0,0,0,0,0
