tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
1487550,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1488437,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1491615,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1491669,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1491780,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1491924,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1493191,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
74248663,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,0,1,1,1
74248663,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,0,1,1,1
74292065,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.260000000000005,0.0,41.67,2.360578341693715,0,0,0,0,0,0,0,0
74292065,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.75,1.0,38.36,2.4400162667751117,0,0,0,0,0,0,0,0
74292101,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.38,1.0,39.59,2.4098805100913747,0,0,0,0,0,0,0,0
74292101,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.76,0.0,38.97,2.424977265838133,0,0,0,0,0,0,0,0
1400970,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
74292126,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
74292157,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
74292198,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
74292267,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
74292286,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
74292995,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.84,0.0,37.19,2.469389854923346,0,0,0,0,0,0,0,0
74292995,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.22,0.0,36.2,2.4948024948024945,0,0,0,0,0,0,0,0
74437092,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
74437251,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
74438054,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.51,0.0,41.78,2.358027117311849,0,0,0,0,0,0,0,0
74438054,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.93,1.0,37.08,2.4721878862793574,0,0,0,0,0,0,0,0
75094773,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.48,0.0,39.55,2.410848819688599,0,0,0,0,0,0,0,0
75094773,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
1400976,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
75094853,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
75095905,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
75095941,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.55,0.0,39.94,2.4014408645187113,0,0,0,0,0,0,0,0
75095941,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.47,1.0,41.75,2.3587223587223587,0,0,0,0,0,0,0,0
75096354,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.23,1.0,42.71,2.3366760782786486,0,0,0,0,0,0,0,0
75096354,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.76,0.0,41.97,2.3536334215945867,0,0,0,0,0,0,0,0
76556718,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.0,0.0,41.35,2.3680315737543167,0,0,0,0,0,0,0,0
76556718,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.160000000000004,1.0,39.98,2.400480096019204,0,0,0,0,0,0,0,0
76556723,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.15,0.0,43.44,2.320185614849188,0,0,0,0,0,0,0,0
76556723,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.879999999999995,0.0,38.71,2.431364603383649,0,0,0,0,0,0,0,0
76556726,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.33,0.0,41.49,2.364765001477978,0,0,0,0,0,0,0,0
76556726,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.6,0.0,42.41,2.3435211405136216,0,0,0,0,0,0,0,0
78146421,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,38.87,0.0,44.82,2.2896393817973673,0,0,0,0,0,0,0,0
78146421,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.41,0.0,37.23,2.4683739586547366,0,0,0,0,0,0,0,0
78146559,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.74,1.0,43.97,2.3083581802443014,0,0,0,0,0,0,0,0
78146559,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.72,1.0,36.44,2.488593944421402,0,0,0,0,0,0,0,0
78148382,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,31.71,1.0,35.66,2.5088856366297305,0,0,0,0,0,0,0,0
78148382,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.27,0.0,36.42,2.4891101431238334,0,0,0,0,0,0,0,0
1400987,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
78148680,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.0,0.0,40.86,2.379535990481856,0,0,0,0,0,0,0,0
78148680,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.510000000000005,1.0,36.51,2.486788933789245,0,0,0,0,0,0,0,0
78292651,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.15,0.0,41.22,2.3710729104919976,0,0,0,0,0,0,0,0
78292651,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.78,0.0,42.03,2.3522493384298735,0,0,0,0,0,0,0,0
78296187,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.36,0.0,36.97,2.47499226564917,0,0,0,0,0,0,0,0
78296187,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.52,0.0,41.26,2.3701362828362633,0,0,0,0,0,0,0,0
78296557,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.06,0.0,42.58,2.3396373562097876,0,0,0,0,0,0,0,0
78296557,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.31,0.0,41.55,2.363367799113737,0,0,0,0,0,0,0,0
78296656,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.71,0.0,43.48,2.3192887514495557,0,0,0,0,0,0,0,0
78296656,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.96,0.0,42.63,2.33849751534639,0,0,0,0,0,0,0,0
78324283,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.42,0.0,39.28,2.4174053182917,0,0,0,0,0,0,0,0
78324283,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.09,0.0,36.05,2.4986985944820406,0,0,0,0,0,0,0,0
78416568,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,41.68,1.0,49.51,2.191580677563693,0,0,0,0,0,0,0,0
78416568,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.99,0.0,42.4,2.34375,0,0,0,0,0,0,0,0
78416673,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.55,1.0,37.0,2.4742268041237114,0,0,0,0,0,0,0,0
78416673,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.59,1.0,40.64,2.384737678855326,0,0,0,0,0,0,0,0
78416691,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1
78783843,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.08,0.0,41.82,2.3571007660577488,0,0,0,0,0,0,0,0
78783843,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,38.67,0.0,45.12,2.2831050228310503,0,0,0,0,0,0,0,0
1401482,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
79470161,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.9,0.0,40.04,2.3990403838464616,0,0,0,0,0,0,0,0
79470161,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.86,0.0,37.84,2.4529844644317254,0,0,0,0,0,0,0,0
79492754,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.78,0.0,37.1,2.4716786817713694,0,0,0,0,0,0,0,0
79492754,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.64,1.0,41.04,2.375296912114014,0,0,0,0,0,0,0,0
79846139,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,40.63,0.0,47.09,2.2411056121019706,0,0,0,0,0,0,0,0
79846139,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,40.78,0.0,47.06,2.2417336073229963,0,0,0,0,0,0,0,0
80243378,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80243588,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80243588,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80243739,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80259978,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80265635,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.21,1.0,38.03,2.448230133632561,0,0,0,0,0,0,0,0
80265635,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.61,1.0,40.42,2.3899621589324838,0,0,0,0,0,0,0,0
80266257,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.95,1.0,40.36,2.3913909924272616,0,0,0,0,0,0,0,0
80266257,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.96,1.0,41.91,2.355019134530468,0,0,0,0,0,0,0,0
80297363,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.15,1.0,42.61,2.3389533183900206,0,0,0,0,0,0,0,0
80297363,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.56,1.0,41.01,2.376002376002376,0,0,0,0,0,0,0,0
1401503,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
80297483,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.22,2.0,39.59,2.4098805100913747,0,0,0,0,0,0,0,0
80297483,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.03,1.0,41.93,2.354557048955165,0,0,0,0,0,0,0,0
80475618,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.47,1.0,40.83,2.3802439750074385,0,0,0,0,0,0,0,0
80475618,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.29,1.0,40.19,2.395448647569618,0,0,0,0,0,0,0,0
80476909,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.260000000000005,5.0,41.46,2.3654642223536366,0,0,0,0,0,0,0,0
80476909,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.05,1.0,41.33,2.3684989637817035,0,0,0,0,0,0,0,0
80486233,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.120000000000005,1.0,41.96,2.3538642604943116,0,0,0,0,0,0,0,0
80486233,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.95,1.0,38.01,2.4487297214569943,0,0,0,0,0,0,0,0
80494927,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.35,1.0,36.47,2.487820047683218,0,0,0,0,0,0,0,0
80494927,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.8,1.0,36.74,2.4808765763903247,0,0,0,0,0,0,0,0
80498825,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80498825,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.32,1.0,36.53,2.4862736972961774,0,0,0,0,0,0,0,0
80630510,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.35,1.0,38.25,2.4427480916030535,0,0,0,0,0,0,0,0
80630510,Atmosphere@atmosphere,unknown,-3,222.0,1.0,223.0,True,23.88,2.0,28.5,150.50847457627117,0,0,0,0,0,0,1,0
80718903,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,39.8,2.0,44.34,2.3001725129384702,0,0,0,0,0,0,0,0
80718903,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,41.02,7.0,47.27,2.2373450172462013,0,0,0,0,0,0,0,0
80924249,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.86,1.0,41.11,2.3736524577193157,0,0,0,0,0,0,0,0
80924249,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.05,1.0,39.47,2.4127877752086055,0,0,0,0,0,0,0,0
80924913,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.95,1.0,37.91,2.451230722091717,0,0,0,0,0,0,0,0
80924913,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.31,1.0,36.25,2.493506493506494,0,0,0,0,0,0,0,0
1401809,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
80932223,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.56,1.0,37.16,2.470152326060107,0,0,0,0,0,0,0,0
80932223,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.57,1.0,36.53,2.4862736972961774,0,0,0,0,0,0,0,0
80932495,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80932495,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1,1,1,1,1,1,1
80932819,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.42,1.0,37.05,2.472952086553323,0,0,0,0,0,0,0,0
80932819,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.35,1.0,37.01,2.4739717554891247,0,0,0,0,0,0,0,0
80933115,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.31,1.0,36.08,2.4979184013322233,0,0,0,0,0,0,0,0
80933115,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.06,1.0,36.06,2.4984384759525295,0,0,0,0,0,0,0,0
80933118,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.87,1.0,40.03,2.3992802159352196,0,0,0,0,0,0,0,0
80933118,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.13,1.0,37.81,2.453736836724261,0,0,0,0,0,0,0,0
80933121,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.1,1.0,37.29,2.4668516805427076,0,0,0,0,0,0,0,0
80933121,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.65,1.0,37.24,2.4681201151789387,0,0,0,0,0,0,0,0
81013915,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.92,1.0,43.12,2.327385570209465,0,0,0,0,0,0,0,0
81013915,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.38,1.0,41.24,2.3706045041485577,0,0,0,0,0,0,0,0
81013943,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.0,2.0,41.06,2.3748268355432414,0,0,0,0,0,0,0,0
81013943,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,39.57,1.0,45.08,2.2839741149600306,0,0,0,0,0,0,0,0
81019728,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,39.73,1.0,45.43,2.2763919188086885,0,0,0,0,0,0,0,0
81019728,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.77,1.0,41.87,2.355943850004908,0,0,0,0,0,0,0,0
81019838,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.96,4.0,38.94,2.425712553062462,0,0,0,0,0,0,0,0
81019838,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.44,1.0,40.47,2.388772767990445,0,0,0,0,0,0,0,0
1401817,Atmosphere@atmosphere,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
81027412,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,40.49,1.0,47.69,2.228619184696815,0,0,0,0,0,0,0,0
81027412,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,36.59,2.0,41.62,2.3617398149970477,0,0,0,0,0,0,0,0
81027434,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.33,6.0,42.52,2.3410066328521264,0,0,0,0,0,0,0,0
81027434,Atmosphere@atmosphere,unknown,-3,208.0,1.0,209.0,True,26.9,1.0,32.35,135.1380617217109,0,0,0,0,0,0,1,0
81032642,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,35.77,2.0,40.86,2.379535990481856,0,0,0,0,0,0,0,0
81032642,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,32.69,1.0,37.21,2.468881802283716,0,0,0,0,0,0,0,0
81043896,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,41.53,1.0,47.33,2.2360942886425046,0,0,0,0,0,0,0,0
81043896,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,37.24,1.0,42.25,2.34718826405868,0,0,0,0,0,0,0,0
81055978,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.75,2.0,38.13,2.4457352491592785,0,0,0,0,0,0,0,0
81055978,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,33.06,1.0,37.65,2.457757296466974,0,0,0,0,0,0,0,0
81399667,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.4,0.0,39.39,2.4147298520977967,0,0,0,0,0,0,0,0
81399667,Atmosphere@atmosphere,unknown,-3,4.0,0.0,4.0,False,34.8,1.0,39.77,2.4055327252681167,0,0,0,0,0,0,0,0
