tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
56539552,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,61.65,0.0,79.0,7.338129496402878,0,0,0,0,0,0,0,0
56543357,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,60.00999999999999,1.0,78.0,7.391304347826088,0,0,0,0,0,0,0,0
56545170,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,60.6,1.0,77.0,7.445255474452555,0,0,0,0,0,0,0,0
56545172,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,60.69999999999999,0.0,78.0,7.391304347826088,0,0,0,0,0,0,0,0
56548318,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,67.64,1.0,87.0,6.938775510204081,0,0,0,0,0,0,0,0
56548325,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,70.19999999999999,0.0,92.0,6.710526315789474,0,0,0,0,0,0,0,0
56552840,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,63.10000000000001,1.0,80.0,7.2857142857142865,0,0,0,0,0,0,0,0
56552860,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,59.04,0.0,76.0,7.5,0,0,0,0,0,0,0,0
56552946,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,66.25000000000001,1.0,84.0,7.083333333333334,0,0,0,0,0,0,0,0
56552948,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,61.23,0.0,79.0,7.338129496402878,0,0,0,0,0,0,0,0
56567599,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,68.52,0.0,87.0,6.938775510204081,0,0,0,0,0,0,0,0
56567728,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,68.53999999999999,0.0,88.0,6.891891891891891,0,0,0,0,0,0,0,0
56572565,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,63.4,1.0,81.0,7.234042553191489,0,0,0,0,0,0,0,0
56572569,CloudSlang@cloud-slang,unknown,-3,17.0,0.0,17.0,False,86.91,1.0,115.0,5.828571428571428,0,0,0,0,0,0,0,0
