tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
2538098,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,12.76,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2538436,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.79,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2538536,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.580000000000002,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2539357,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.36,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2543295,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
2543740,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.739999999999998,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2543765,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,12.96,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2544644,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.76,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2545023,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2545338,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.599999999999998,0.0,0.0,0.0,1,0,0,0,0,0,0,0
1589499,CloudifySource@cloudify,unknown,-3,6.0,0.0,6.0,False,13.489999999999998,0.0,0.0,6.0,1,0,0,0,0,0,1,0
2546634,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,12.94,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2547472,CloudifySource@cloudify,unknown,-3,0.0,0.0,0.0,False,13.27,0.0,0.0,0.0,1,0,0,0,0,0,0,0
