tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
32439281,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
32446090,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
32446201,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,107.46999999999998,0.0,401.0,2.472885032537961,1,0,0,0,0,0,0,1
32531908,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,119.47,0.0,354.0,2.753623188405797,1,0,0,0,0,0,0,1
32534145,DSpace@DSpace,unknown,-3,565.0,2.0,567.0,True,310.24999999999983,0.0,0.0,565.0,1,0,0,0,0,0,1,0
32535242,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,79.82000000000002,0.0,263.0,3.5294117647058822,1,0,0,0,0,0,0,0
32539584,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,True,337.3799999999999,0.0,366.0,2.676056338028169,1,0,0,0,0,0,0,1
32539701,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,85.51000000000002,0.0,316.0,3.0319148936170213,1,0,0,0,0,0,0,0
32551892,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
32593727,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,88.38,0.0,334.0,2.8934010152284264,1,0,0,0,0,0,0,0
10470372,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
32606087,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,105.91,0.0,345.0,2.814814814814815,1,0,0,0,0,0,0,0
32608254,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,105.66,0.0,385.0,2.561797752808989,1,0,0,0,0,0,0,1
32609870,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,79.78,0.0,267.0,3.4862385321100917,1,0,0,0,0,0,0,0
32642379,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,105.62000000000002,0.0,360.0,2.7142857142857144,1,0,0,0,0,0,0,1
32642513,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,True,344.54,0.0,413.0,2.41014799154334,1,0,0,0,0,0,0,1
32644081,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
32658555,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,109.47,0.0,366.0,2.676056338028169,1,0,0,0,0,0,0,1
32662262,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,87.83000000000001,0.0,273.0,3.4234234234234235,1,0,0,0,0,0,0,0
32662449,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,84.72000000000004,0.0,314.0,3.0481283422459895,1,0,0,0,0,0,0,0
32667324,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,110.56000000000004,0.0,384.0,2.5675675675675675,1,0,0,0,0,0,0,1
10507047,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
32668697,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,109.33,0.0,501.0,2.0320855614973263,1,0,0,0,0,0,0,1
32670770,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,89.4,0.0,317.0,3.023872679045093,1,0,0,0,0,0,0,0
32675664,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,80.77,0.0,301.0,3.1578947368421053,1,0,0,0,0,0,0,0
32787161,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,68.62,0.0,244.0,3.75,1,0,0,0,0,0,0,0
32803031,DSpace@DSpace,unknown,-3,568.0,1.0,569.0,True,199.55000000000007,0.0,0.0,568.0,1,0,0,0,0,0,1,0
32809642,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,92.37999999999997,0.0,305.0,3.1232876712328768,1,0,0,0,0,0,0,0
32852922,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,79.98,0.0,276.0,3.3928571428571432,1,0,0,0,0,0,0,0
32875279,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,88.53000000000003,0.0,428.0,2.336065573770492,1,0,0,0,0,0,0,1
32879655,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,79.13999999999997,0.0,289.0,3.2664756446991405,1,0,0,0,0,0,0,0
32939584,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,75.88999999999997,0.0,281.0,3.3431085043988267,1,0,0,0,0,0,0,0
10519231,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
32951076,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,72.13,0.0,254.0,3.6305732484076434,1,0,0,0,0,0,0,0
32978788,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,90.82999999999998,0.0,333.0,2.900763358778626,1,0,0,0,0,0,0,0
33058452,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,120.09000000000002,0.0,438.0,2.2891566265060237,1,0,0,0,0,0,0,1
33106354,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,96.89,0.0,419.0,2.3799582463465554,1,0,0,0,0,0,0,1
33111134,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
33111897,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,137.05999999999997,0.0,501.0,2.0320855614973263,1,0,0,0,0,0,0,1
33115506,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,91.6,0.0,331.0,2.915601023017903,1,0,0,0,0,0,0,0
33118776,DSpace@DSpace,unknown,-3,19.0,0.0,19.0,False,83.32,0.0,299.0,3.1754874651810585,1,0,0,0,0,0,0,0
33216805,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,807.0,0.0,1,1,1,1,1,0,0,1
33220866,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,477.0,0.0,1,1,1,1,1,0,0,1
10532646,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
33272478,DSpace@DSpace,unknown,-3,569.0,0.0,569.0,False,194.91000000000017,0.0,0.0,569.0,1,0,0,0,0,0,1,0
33280860,DSpace@DSpace,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,562.0,0.0,1,1,1,1,1,0,0,1
