tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
19048334,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
19048334,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
19048334,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
19049463,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.09,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19049463,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.45,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19049463,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.870000000000001,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19131903,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.15,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19131903,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.74,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19131903,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.12,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19133551,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.36,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19133551,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.67,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19133551,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.940000000000001,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19173583,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,19.28,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19173583,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.95,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19173583,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.24,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196605,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.0,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196605,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,16.39,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196605,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.37,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196672,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.94,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196672,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.59,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196672,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.64,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196783,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.62,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196783,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.62,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196783,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.440000000000001,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196844,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.21,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196844,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.05,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19196844,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.34,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19251132,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.21,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19251132,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.57,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19251132,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.129999999999999,0.0,0.0,236.0,1,0,0,0,0,0,0,0
1721663,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
19252106,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.56,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19252106,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.89,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19252106,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,6.039999999999999,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19252955,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.57,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19252955,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.79,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19252955,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,6.93,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19253049,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.71,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19253049,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.97,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19253049,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.460000000000001,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19253057,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.77,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19253057,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.03,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19253057,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,6.2,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19351404,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.38,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19351404,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.58,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19351404,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.35,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19354962,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.17,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19354962,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.47,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19354962,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.29,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19361509,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.27,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19361509,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.96,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19361509,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,17.51,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19448793,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.75,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19448793,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.79,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19448793,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,5.48,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19460814,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.11,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19460814,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.03,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19460814,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,6.51,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19467727,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,14.329999999999998,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19467727,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.22,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19467727,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,21.1,0.0,0.0,236.0,1,0,0,0,0,0,0,0
1729394,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
19501774,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,14.239999999999998,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19501774,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.86,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19501774,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.19,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19504143,Graylog2@graylog2-server,unknown,-3,234.0,2.0,236.0,True,14.35,0.0,0.0,234.0,1,0,0,0,0,0,0,0
19504143,Graylog2@graylog2-server,unknown,-3,234.0,2.0,236.0,True,14.92,0.0,0.0,234.0,1,0,0,0,0,0,0,0
19504143,Graylog2@graylog2-server,unknown,-3,234.0,2.0,236.0,True,9.38,0.0,0.0,234.0,1,0,0,0,0,0,0,0
19504259,Graylog2@graylog2-server,unknown,-3,234.0,2.0,236.0,True,9.6,0.0,0.0,234.0,1,0,0,0,0,0,0,0
19504259,Graylog2@graylog2-server,unknown,-3,234.0,2.0,236.0,True,10.61,0.0,0.0,234.0,1,0,0,0,0,0,0,0
19504259,Graylog2@graylog2-server,unknown,-3,234.0,2.0,236.0,True,6.42,0.0,0.0,234.0,1,0,0,0,0,0,0,0
19505949,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.61,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19505949,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.42,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19505949,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.76,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19506905,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.79,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19506905,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.79,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19506905,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,6.930000000000001,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19510550,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.66,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19510550,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,14.79,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19510550,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.96,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19510572,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.88,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19510572,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.75,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19510572,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.02,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19518034,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.490000000000002,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19518034,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,16.43,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19518034,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.59,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19580484,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.66,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19580484,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.56,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19580484,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.16,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19584203,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.88,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19584203,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.36,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19584203,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.0200000000000005,0.0,0.0,236.0,1,0,0,0,0,0,0,0
1729503,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
19586158,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.85,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19586158,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.04,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19586158,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.79,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19591316,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.66,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19591316,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.579999999999998,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19591316,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,6.44,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19591386,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.81,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19591386,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.4,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19591386,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.96,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19639986,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.88,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19639986,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.39,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19639986,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.59,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19790832,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.57,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19790832,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.48,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19790832,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,7.39,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19798143,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.93,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19798143,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.92,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19798143,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.35,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19803746,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,24.68,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19803746,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.44,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19803746,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.98,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19809208,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.3,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19809208,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,17.12,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19809208,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.93,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19823273,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.010000000000002,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19823273,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,15.04,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19823273,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
19833812,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.63,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19833812,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,19.03,0.0,0.0,236.0,1,0,0,0,0,0,0,0
1730809,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
19864709,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.65,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19864709,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.72,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19865293,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.04,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19865293,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.97,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19870451,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.46,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19870451,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,9.14,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19986907,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.489999999999998,0.0,0.0,236.0,1,0,0,0,0,0,0,0
19986907,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.03,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20058459,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20058459,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20058459,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20150196,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20150196,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20277553,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20277553,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20277553,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
20280212,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.32,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20280212,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.72,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20280212,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,8.129999999999999,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20464746,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,18.770000000000003,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20464746,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.51,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20469085,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.71,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20469085,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,14.07,0.0,0.0,236.0,1,0,0,0,0,0,0,0
1767292,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
20469459,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.47,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20469459,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,13.079999999999998,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20517450,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.579999999999998,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20517450,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.78,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20517664,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,14.07,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20517664,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.53,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20526111,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.18,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20526111,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.61,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20532800,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.14,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20532800,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,12.18,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20570282,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,11.4,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20570282,Graylog2@graylog2-server,unknown,-3,236.0,0.0,236.0,False,10.44,0.0,0.0,236.0,1,0,0,0,0,0,0,0
20570618,Graylog2@graylog2-server,unknown,-3,238.0,0.0,238.0,False,12.64,0.0,0.0,238.0,1,0,0,0,0,0,0,0
20570618,Graylog2@graylog2-server,unknown,-3,238.0,0.0,238.0,False,9.36,0.0,0.0,238.0,1,0,0,0,0,0,0,0
20605233,Graylog2@graylog2-server,unknown,-3,239.0,0.0,239.0,False,9.65,0.0,0.0,239.0,1,0,0,0,0,0,0,0
20605233,Graylog2@graylog2-server,unknown,-3,239.0,0.0,239.0,False,14.85,0.0,0.0,239.0,1,0,0,0,0,0,0,0
20608039,Graylog2@graylog2-server,unknown,-3,239.0,0.0,239.0,False,12.77,0.0,0.0,239.0,1,0,0,0,0,0,0,0
20608039,Graylog2@graylog2-server,unknown,-3,239.0,0.0,239.0,False,13.03,0.0,0.0,239.0,1,0,0,0,0,0,0,0
20622120,Graylog2@graylog2-server,unknown,-3,249.0,0.0,249.0,False,16.630000000000003,0.0,0.0,249.0,1,0,0,0,0,0,0,0
20622120,Graylog2@graylog2-server,unknown,-3,249.0,0.0,249.0,False,12.02,0.0,0.0,249.0,1,0,0,0,0,0,0,0
1767812,Graylog2@graylog2-server,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
20647153,Graylog2@graylog2-server,unknown,-3,249.0,0.0,249.0,False,11.45,0.0,0.0,249.0,1,0,0,0,0,0,0,0
20647153,Graylog2@graylog2-server,unknown,-3,249.0,0.0,249.0,False,13.84,0.0,0.0,249.0,1,0,0,0,0,0,0,0
20649572,Graylog2@graylog2-server,unknown,-3,249.0,0.0,249.0,False,12.489999999999998,0.0,0.0,249.0,1,0,0,0,0,0,0,0
20649572,Graylog2@graylog2-server,unknown,-3,249.0,0.0,249.0,False,12.65,0.0,0.0,249.0,1,0,0,0,0,0,0,0
