tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
32209137,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,31.0,0.0,0.0,0,1,1,1,1,0,0,0
32222893,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,32.0,0.0,0.0,0,1,1,1,1,0,0,0
32225718,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
32225724,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,60.0,0.0,0.0,0,1,1,1,1,0,0,0
32243985,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,49.0,0.0,0.0,0,1,1,1,1,0,0,0
32244853,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,35.0,0.0,0.0,0,1,1,1,1,0,0,0
33536234,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,42.0,0.0,0.0,0,1,1,1,1,0,0,0
33567569,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,82.0,0.0,0.0,0,1,1,1,1,0,0,0
33592712,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,60.0,0.0,0.0,0,1,1,1,1,0,0,0
33739444,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,60.0,0.0,0.0,0,1,1,1,1,0,0,0
18826117,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
33741633,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,31.0,0.0,0.0,0,1,1,1,1,0,0,0
33741841,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,77.0,0.0,0.0,0,1,1,1,1,0,0,0
34387177,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,30.0,0.0,0.0,0,1,1,1,1,0,0,0
34387347,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,30.0,0.0,0.0,0,1,1,1,1,0,0,0
34438322,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,25.0,0.0,0.0,0,1,1,1,1,0,0,0
34537963,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,49.0,0.0,0.0,0,1,1,1,1,0,0,0
35351443,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,28.0,0.0,0.0,0,1,1,1,1,0,0,0
36418375,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,29.0,0.0,0.0,0,1,1,1,1,0,0,0
36418684,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,30.0,0.0,0.0,0,1,1,1,1,0,0,0
37620445,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,28.0,0.0,0.0,0,1,1,1,1,0,0,0
18833485,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
37873004,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,34.0,0.0,0.0,0,1,1,1,1,0,0,0
37873122,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,22.0,0.0,0.0,0,1,1,1,1,0,0,0
37982619,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,41.0,0.0,0.0,0,1,1,1,1,0,0,0
38400015,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,26.0,0.0,0.0,0,1,1,1,1,0,0,0
38404453,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,22.0,0.0,0.0,0,1,1,1,1,0,0,0
38442163,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,43.0,0.0,0.0,0,1,1,1,1,0,0,0
38946704,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,28.0,0.0,0.0,0,1,1,1,1,0,0,0
38947304,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,84.0,0.0,0.0,0,1,1,1,1,0,0,0
39103573,Guake@guake,unknown,-3,0.0,0.0,0.0,0,0.0,27.0,0.0,0.0,0,1,1,1,1,0,0,0
