tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
147223957,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147223957,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,0,0
147223957,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147228443,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147228443,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147228443,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147231441,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,1,1,1,1,0,0,0
147231441,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,1,1,1,1,0,0,0
147231441,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,1,1,1,1,0,0,0
147231609,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147231609,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,0,0
147231609,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147236238,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147236238,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147236238,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,1,1,1,1,0,0,0
147245018,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,0,0
147245018,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147245018,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,0,0
147245150,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147245150,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,0,0
147245150,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147245283,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147245283,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0,1,1,1,1,0,0,0
147245283,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147245708,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147245708,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0,1,1,1,1,0,0,0
147245708,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,8.0,0.0,0.0,0,1,1,1,1,0,0,0
147250768,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147250768,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,1,1,1,1,0,0,0
147250768,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147257260,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147257260,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147257260,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
147258525,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,25.0,0.0,0.0,0,1,1,1,1,0,0,0
147258525,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,1,1,1,1,0,0,0
147258525,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0,1,1,1,1,0,0,0
147259953,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,22.0,0.0,0.0,0,1,1,1,1,0,0,0
147259953,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,1,1,1,1,0,0,0
147259953,HubSpot@Singularity,unknown,-3,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,1,1,1,1,0,0,0
